Word,Furigana,Meaning,Level
半,はん,,N1
端,ぱ,어중간함/흐지부지,N1
川端,かわばた,강가,N1
獲得,かくとく,획득,N1
捕,ほ,,N1
獲,かく,포획,N1
魚,さかな,を,N1
獲,え,る 고기를 잡다,N1
郡役所,ぐんやくしょ,군청,N1
併行,へいこう,병행,N1
併合,へいごう,병합,N1
合併,がっぺい,합병,N1
併用,へいよう,병용,N1
徹底,てってい,철저,N1
徹,てつ,,N1
夜,や,철야,N1
貫徹,かんてつ,관철,N1
貴,き,,N1
重,ちょう,귀중,N1
尊,そん,,N1
貴,き,존귀,N1
貴,き,,N1
族,ぞく,귀족,N1
衝,しょう,,N1
撃,げき,충격,N1
衝,しょう,,N1
突,とつ,충돌,N1
衝,しょう,,N1
動,どう,충동,N1
焦,しょう,,N1
点,てん,초점,N1
焦,しょう,,N1
燥,そう,초조,N1
奪取,だっしゅ,탈취,N1
争奪,そうだつ,쟁탈,N1
奪還,だっかん,탈환,N1
略,りゃく,,N1
奪,だつ,약탈,N1
剝奪,はくだつ,박탈,N1
強奪,ごうだつ,강탈,N1
金,かね,を,N1
奪,うば,う 돈을 빼앗다,N1
災害,さいがい,재해,N1
災難,さいなん,재난,N1
災,わざわ,い 재앙/재난/화,N1
浦,うら,,N1
辺,べ,바닷가/해변,N1
浦風,うらかぜ,갯바람,N1
津々,つつ,,N1
浦々,うらうら,방방곡곡,N1
